Location,"Mortality Rate, 2014*"
"Gadsden County, Florida","305.33 (287.48, 323.54)"
"Gilchrist County, Florida","258.53 (239.93, 278.86)"
"Glades County, Florida","181.77 (167.46, 197.14)"
"Gulf County, Florida","284.83 (262.12, 308.16)"
"Hamilton County, Florida","296.05 (273.17, 320.05)"
"Hardee County, Florida","222.06 (205.13, 239.71)"
"Hendry County, Florida","276.73 (258.05, 293.34)"
"Hernando County, Florida","256.23 (245.25, 267.45)"
"Highlands County, Florida","214.05 (204.15, 223.60)"
"Hillsborough County, Florida","248.43 (240.73, 256.12)"
"Holmes County, Florida","375.46 (349.13, 403.02)"
"Indian River County, Florida","206.07 (197.51, 214.99)"
"Jackson County, Florida","322.32 (304.57, 339.50)"
"Jefferson County, Florida","274.92 (255.28, 295.62)"
"Lafayette County, Florida","277.07 (250.56, 303.89)"
"Lake County, Florida","229.69 (221.37, 238.03)"
"Lee County, Florida","193.24 (186.86, 199.50)"
"Leon County, Florida","232.16 (221.14, 243.92)"
"Levy County, Florida","274.49 (258.05, 292.50)"
"Liberty County, Florida","298.03 (269.41, 328.84)"
"Madison County, Florida","339.45 (316.43, 365.21)"
"Manatee County, Florida","214.21 (206.46, 222.13)"
"Marion County, Florida","260.99 (252.10, 270.11)"
"Martin County, Florida","177.05 (169.34, 185.27)"
"Miami-Dade County, Florida","225.39 (219.07, 231.74)"
"Monroe County, Florida","210.33 (198.75, 221.47)"
"Nassau County, Florida","240.28 (228.60, 252.35)"
"Okaloosa County, Florida","232.63 (222.05, 243.60)"
"Okeechobee County, Florida","296.74 (280.91, 314.42)"
"Orange County, Florida","229.02 (221.56, 236.42)"
"Osceola County, Florida","254.92 (244.36, 266.00)"
"Palm Beach County, Florida","193.25 (187.31, 199.26)"
"Pasco County, Florida","266.21 (256.97, 275.46)"
"Pinellas County, Florida","256.49 (249.65, 263.28)"
"Polk County, Florida","264.21 (255.79, 272.81)"
"Putnam County, Florida","272.13 (259.28, 284.91)"
"Saint Johns County, Florida","185.36 (176.48, 194.13)"
"Saint Lucie County, Florida","222.62 (213.51, 231.08)"
"Santa Rosa County, Florida","245.78 (233.85, 258.29)"
"Sarasota County, Florida","176.06 (169.33, 182.63)"
"Seminole County, Florida","221.18 (212.18, 230.43)"
"Sumter County, Florida","169.90 (161.85, 178.06)"
"Suwannee County, Florida","318.63 (301.10, 336.87)"
"Taylor County, Florida","307.84 (286.93, 330.81)"
"Union County, Florida","385.26 (357.22, 416.12)"
"Volusia County, Florida","261.13 (252.61, 270.35)"
"Wakulla County, Florida","290.04 (267.89, 313.22)"
"Walton County, Florida","269.75 (254.80, 284.86)"
"Washington County, Florida","320.86 (296.96, 343.78)"
Georgia,"275.49 (269.16, 281.68)"
"Appling County, Georgia","331.07 (303.67, 356.97)"
"Atkinson County, Georgia","343.98 (312.00, 380.11)"
"Bacon County, Georgia","403.16 (368.01, 439.58)"
"Baker County, Georgia","250.76 (219.98, 280.95)"
"Baldwin County, Georgia","337.94 (316.92, 358.33)"
"Banks County, Georgia","290.89 (268.78, 315.06)"
"Barrow County, Georgia","290.68 (273.74, 308.31)"
"Bartow County, Georgia","292.52 (277.70, 307.94)"
"Ben Hill County, Georgia","321.89 (296.65, 347.06)"
"Berrien County, Georgia","327.32 (305.03, 349.85)"
"Bibb County, Georgia","390.19 (372.45, 406.83)"
"Bleckley County, Georgia","298.69 (275.84, 322.85)"
"Brantley County, Georgia","320.55 (294.86, 346.00)"
"Brooks County, Georgia","298.28 (278.00, 319.71)"
"Bryan County, Georgia","299.52 (280.06, 321.26)"
"Bulloch County, Georgia","263.60 (248.61, 279.07)"
"Burke County, Georgia","364.20 (340.96, 388.76)"
"Butts County, Georgia","318.67 (296.62, 340.10)"
"Calhoun County, Georgia","379.68 (345.62, 416.09)"
"Camden County, Georgia","290.54 (269.14, 310.82)"
"Candler County, Georgia","306.92 (282.92, 332.91)"
"Carroll County, Georgia","335.44 (320.05, 351.98)"
"Catoosa County, Georgia","265.55 (249.10, 281.29)"
"Charlton County, Georgia","309.58 (282.17, 337.82)"
"Chatham County, Georgia","280.90 (270.32, 291.85)"
"Chattahoochee County, Georgia","310.87 (277.84, 346.01)"
"Chattooga County, Georgia","350.87 (326.22, 376.20)"
"Cherokee County, Georgia","225.50 (214.85, 237.39)"
"Clarke County, Georgia","255.73 (241.85, 269.27)"
"Clay County, Georgia","357.88 (324.27, 394.49)"
"Clayton County, Georgia","289.58 (277.40, 302.36)"
"Clinch County, Georgia","359.72 (327.15, 395.41)"
"Cobb County, Georgia","220.20 (211.57, 229.47)"
"Coffee County, Georgia","322.46 (304.81, 342.66)"
"Colquitt County, Georgia","338.40 (319.35, 359.98)"
"Columbia County, Georgia","214.11 (202.74, 226.57)"
"Cook County, Georgia","360.28 (334.47, 386.82)"
"Coweta County, Georgia","253.14 (239.75, 266.71)"
"Crawford County, Georgia","287.74 (262.28, 316.26)"
"Crisp County, Georgia","316.49 (296.54, 337.17)"
"Dade County, Georgia","321.77 (297.13, 345.57)"
"Dawson County, Georgia","255.32 (235.23, 275.68)"
"DeKalb County, Georgia","226.10 (218.20, 234.47)"
"Decatur County, Georgia","307.39 (286.43, 328.38)"
"Dodge County, Georgia","342.77 (319.62, 364.53)"
"Dooly County, Georgia","295.77 (274.69, 319.93)"
"Dougherty County, Georgia","302.03 (287.21, 317.71)"
"Douglas County, Georgia","304.91 (288.56, 321.43)"
"Early County, Georgia","379.83 (350.85, 409.47)"
"Echols County, Georgia","234.96 (205.68, 266.31)"
"Effingham County, Georgia","292.96 (274.92, 312.12)"
"Elbert County, Georgia","344.33 (321.14, 368.47)"
"Emanuel County, Georgia","367.81 (344.69, 392.87)"
"Evans County, Georgia","324.49 (295.10, 354.62)"
"Fannin County, Georgia","236.01 (220.35, 250.89)"
"Fayette County, Georgia","201.06 (190.45, 212.15)"
"Floyd County, Georgia","327.75 (311.81, 343.51)"
"Forsyth County, Georgia","212.70 (200.66, 224.84)"
"Franklin County, Georgia","331.62 (310.05, 354.66)"
"Fulton County, Georgia","257.84 (248.23, 266.32)"
"Gilmer County, Georgia","246.37 (229.77, 264.29)"
"Glascock County, Georgia","328.86 (294.02, 367.25)"
"Glynn County, Georgia","241.00 (227.91, 253.37)"
"Gordon County, Georgia","314.46 (296.91, 333.04)"
"Grady County, Georgia","308.62 (288.39, 329.68)"
"Greene County, Georgia","296.08 (275.55, 317.88)"
"Gwinnett County, Georgia","211.04 (202.81, 219.89)"
"Habersham County, Georgia","242.89 (226.29, 259.67)"
"Hall County, Georgia","245.66 (233.62, 257.39)"
"Hancock County, Georgia","262.61 (240.64, 283.88)"
"Haralson County, Georgia","369.04 (343.38, 395.98)"
"Harris County, Georgia","232.43 (217.49, 248.88)"
"Hart County, Georgia","283.73 (265.40, 303.91)"
"Heard County, Georgia","257.10 (232.81, 281.72)"
"Henry County, Georgia","278.75 (265.80, 292.17)"
"Houston County, Georgia","257.95 (245.33, 271.54)"
"Irwin County, Georgia","267.32 (241.94, 292.24)"
"Jackson County, Georgia","310.09 (291.68, 327.97)"
"Jasper County, Georgia","323.92 (297.58, 350.73)"
"Jeff Davis County, Georgia","404.15 (370.50, 438.14)"
"Jefferson County, Georgia","382.13 (355.24, 410.29)"
