State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
IN,St. Joseph,9.5,,,
IN,Scott,11.0,,,
IN,Shelby,10.4,,,
IN,Spencer,9.8,,,
IN,Starke,11.0,,,
IN,Steuben,9.5,,,
IN,Sullivan,11.1,,,
IN,Switzerland,11.2,,,
IN,Tippecanoe,9.0,,,
IN,Tipton,10.0,,,
IN,Union,10.0,,,
IN,Vanderburgh,9.6,,,
IN,Vermillion,10.6,,,
IN,Vigo,10.1,,,
IN,Wabash,9.8,,,
IN,Warren,10.0,,,
IN,Warrick,8.5,,,
IN,Washington,10.6,,,
IN,Wayne,10.8,,,
IN,Wells,9.2,,,
IN,White,10.0,,,
IN,Whitley,9.8,,,
IA,Iowa*,8.5,,,
IA,Adair,9.6,,,
IA,Adams,9.3,,,
IA,Allamakee,8.7,,,
IA,Appanoose,9.6,,,
IA,Audubon,9.5,,,
IA,Benton,9.6,,,
IA,Black Hawk,9.1,,,
IA,Boone,8.9,,,
IA,Bremer,7.8,,,
IA,Buchanan,9.6,,,
IA,Buena Vista,8.8,,,
IA,Butler,9.7,,,
IA,Calhoun,9.2,,,
IA,Carroll,8.2,,,
IA,Cass,8.8,,,
IA,Cedar,9.2,,,
IA,Cerro Gordo,8.7,,,
IA,Cherokee,8.8,,,
IA,Chickasaw,9.1,,,
IA,Clarke,9.4,,,
IA,Clay,8.3,,,
IA,Clayton,9.2,,,
IA,Clinton,10.0,,,
IA,Crawford,8.9,,,
IA,Dallas,7.7,,,
IA,Davis,10.1,,,
IA,Decatur,10.2,,,
IA,Delaware,9.3,,,
IA,Des Moines,9.4,,,
IA,Dickinson,8.2,,,
IA,Dubuque,8.3,,,
IA,Emmet,9.0,,,
IA,Fayette,9.5,,,
IA,Floyd,9.3,,,
IA,Franklin,9.5,,,
IA,Fremont,9.4,,,
IA,Greene,9.0,,,
IA,Grundy,8.7,,,
IA,Guthrie,8.8,,,
IA,Hamilton,8.8,,,
IA,Hancock,9.3,,,
IA,Hardin,8.7,,,
IA,Harrison,9.6,,,
IA,Henry,9.3,,,
IA,Howard,8.9,,,
IA,Humboldt,8.8,,,
